subject,Mellon,Packard,Gates,OSF,RWJ,Hewlett,Ford
Agriculture,0.023484052,0.00248911,0.042068669,0.006666667,0.001530055,0.009643202,0.015968925
Computer Science,0.03189625,0.0282514,0.008515292,0.02,0.010054645,0.067502411,0.010789814
Geography,0.016473887,0.0011201,0.001054646,0.016190476,0.001202186,0.004821601,0.013810962
Physical Geography,0.019628461,0.003111388,0.000546854,0.000952381,0.000546448,0.00192864,0.003884333
Information Science & Library Science,0.022082019,0.000373367,0.001093707,0.006666667,0.003825137,0.005785921,0.002589555
Chemistry,0.046617596,0.079029247,0.033436194,0.016190476,0.000874317,0.005785921,0.055675442
Electrochemistry,0.000350508,0.000995644,0.003203,0,0,0,0.002157963
Instruments & Instrumentation,0.002804066,0.002862477,0.003554549,0.001904762,0.00010929,0.00096432,0.003884333
Education & Educational Research,0.018927445,0.002240199,0.01003867,0.04,0.018797814,0.073288332,0.030643073
Philosophy,0.003154574,0,3.91E-05,0,0.00010929,0,0.000863185
Plant Sciences,0.092534175,0.008089608,0.038045389,0,0.000218579,0.00192864,0.010789814
Cultural Studies,0.006309148,0.000124456,7.81E-05,0.002857143,0.00010929,0,0
Architecture,0.003154574,0,0,0.000952381,0,0,0
Communication,0.005608132,0.000497822,0.000624976,0.020952381,0.002513661,0.019286403,0.008631852
Environmental Sciences & Ecology,0.266035752,0.115743622,0.028826999,0.039047619,0.018142077,0.073288332,0.105308589
History,0.027690151,0.000124456,3.91E-05,0.008571429,0.00010929,0,0.005610703
Literature,0.007360673,0,0,0,0,0.00096432,0.002157963
Health Care Sciences & Services,0.009463722,0.005102676,0.02484278,0.075238095,0.185464481,0.035679846,0.02675874
History & Philosophy of Science,0.012618297,0,0.000117183,0.003809524,0.000983607,0,0.001294778
Anthropology,0.033999299,0.001617922,0.001640561,0.014285714,0.001857923,0.005785921,0.025463962
Archaeology,0.024535577,0,3.91E-05,0.003809524,0,0,0.005610703
Psychology,0.018226428,0.009583074,0.00921839,0.036190476,0.059125683,0.045323047,0.071644368
Physics,0.013669821,0.160174238,0.006445061,0.026666667,0.000218579,0.005785921,0.032801036
Spectroscopy,0.025587101,0.001742377,0.001054646,0.000952381,0,0,0.000863185
Science & Technology - Other Topics,0.075008763,0.141630367,0.127182532,0.083809524,0.027322404,0.053037608,0.08545533
Neurosciences & Neurology,0.018226428,0.020286248,0.008515292,0.07047619,0.039016393,0.004821601,0.028916703
Evolutionary Biology,0.03189625,0.029869322,0.004726378,0.000952381,0.000983607,0,0.017263703
Medical Informatics,0.001752541,0.001742377,0.003632671,0.001904762,0.015737705,0.00192864,0.000863185
Religion,0.007010165,0.000124456,3.91E-05,0.004761905,0.00010929,0,0.002157963
Government & Law,0.018226428,0.000124456,0.000273427,0.06952381,0.010163934,0.033751205,0.021148036
Linguistics,0.010865755,0.000373367,0,0.004761905,0.000546448,0.003857281,0.003884333
Area Studies,0.014721346,0,0.000624976,0.040952381,0.00010929,0.007714561,0.011653
Marine & Freshwater Biology,0.04977217,0.042563783,0.000624976,0,0,0,0.012084592
Toxicology,0.002103049,0.001244555,0.002460841,0.000952381,0.002404372,0.004821601,0.00172637
Business & Economics,0.013319313,0.002613566,0.017811804,0.061904762,0.021967213,0.092574735,0.056107035
Asian Studies,0.00595864,0,7.81E-05,0,0,0,0
