,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
0,Agriculture,1232,67,20,1077,7,14,10,37,0.023484051875219066,0.002489110143123833,0.04206866919260966,0.006666666666666667,0.0015300546448087432,0.009643201542912247,0.015968925334484248
1,Computer Science,744,91,227,218,21,92,70,25,0.0318962495618647,0.028251400124455508,0.008515292371391743,0.02,0.01005464480874317,0.06750241080038573,0.01078981441519206
2,Geography,148,47,9,27,17,11,5,32,0.016473887136347704,0.001120099564405725,0.0010546463028787939,0.01619047619047619,0.0012021857923497268,0.0048216007714561235,0.013810962451445835
3,Physical Geography,112,56,25,14,1,5,2,9,0.01962846126883982,0.0031113876789047915,0.000546853638529745,0.0009523809523809524,0.000546448087431694,0.0019286403085824494,0.003884333189469141
4,Information Science & Library Science,148,63,3,28,7,35,6,6,0.022082018927444796,0.000373366521468575,0.00109370727705949,0.006666666666666667,0.003825136612021858,0.0057859209257473485,0.002589555459646094
5,Chemistry,1784,133,635,856,17,8,6,129,0.046617595513494564,0.07902924704418171,0.03343619389867583,0.01619047619047619,0.0008743169398907104,0.0057859209257473485,0.05567544238239102
6,Electrochemistry,96,1,8,82,0,0,0,5,0.0003505082369435682,0.0009956440572495332,0.0032029998828170775,0.0,0.0,0.0,0.0021579628830384117
7,Instruments & Instrumentation,135,8,23,91,2,1,1,9,0.0028040658955485456,0.002862476664592408,0.0035545486504433422,0.0019047619047619048,0.0001092896174863388,0.0009643201542912247,0.003884333189469141
8,Education & Educational Research,690,54,18,257,42,172,76,71,0.01892744479495268,0.00224019912881145,0.010038670364438888,0.04,0.018797814207650275,0.07328833172613308,0.030643072939145446
9,Philosophy,13,9,0,1,0,1,0,2,0.0031545741324921135,0.0,3.906097418069607e-05,0.0,0.0001092896174863388,0.0,0.0008631851532153647
10,Plant Sciences,1332,264,65,974,0,2,2,25,0.09253417455310199,0.008089607965152458,0.03804538885199797,0.0,0.0002185792349726776,0.0019286403085824494,0.01078981441519206
11,Cultural Studies,25,18,1,2,3,1,0,0,0.006309148264984227,0.00012445550715619165,7.812194836139214e-05,0.002857142857142857,0.0001092896174863388,0.0,0.0
12,Architecture,10,9,0,0,1,0,0,0,0.0031545741324921135,0.0,0.0,0.0009523809523809524,0.0,0.0,0.0
13,Communication,121,16,4,16,22,23,20,20,0.005608131791097091,0.0004978220286247666,0.0006249755868911371,0.02095238095238095,0.0025136612021857923,0.019286403085824494,0.008631851532153647
14,Environmental Sciences & Ecology,2954,759,930,738,41,166,76,244,0.26603575184016826,0.11574362165525824,0.028826998945353698,0.039047619047619046,0.01814207650273224,0.07328833172613308,0.1053085886922745
