,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
0,Soil Science,144,58,7,73,0,0,0,6,0.020329477742726955,0.0008711885500933416,0.0028514511151908127,0.0,0.0,0.0,0.002589555459646094
1,"Computer Science, Information Systems",253,42,59,55,5,53,28,11,0.014721345951629864,0.007342874922215308,0.0021483535799382836,0.004761904761904762,0.005792349726775957,0.02700096432015429,0.004747518342684506
2,Geography,148,47,9,27,17,11,5,32,0.016473887136347704,0.001120099564405725,0.0010546463028787939,0.01619047619047619,0.0012021857923497268,0.0048216007714561235,0.013810962451445835
3,"Geography, Physical",112,56,25,14,1,5,2,9,0.01962846126883982,0.0031113876789047915,0.000546853638529745,0.0009523809523809524,0.000546448087431694,0.0019286403085824494,0.003884333189469141
4,Information Science & Library Science,148,63,3,28,7,35,6,6,0.022082018927444796,0.000373366521468575,0.00109370727705949,0.006666666666666667,0.003825136612021858,0.0057859209257473485,0.002589555459646094
5,"Chemistry, Analytical",341,78,27,222,2,2,0,10,0.027339642481598318,0.003360298693217175,0.008671536268114528,0.0019047619047619048,0.0002185792349726776,0.0,0.0043159257660768235
6,Electrochemistry,96,1,8,82,0,0,0,5,0.0003505082369435682,0.0009956440572495332,0.0032029998828170775,0.0,0.0,0.0,0.0021579628830384117
7,Instruments & Instrumentation,135,8,23,91,2,1,1,9,0.0028040658955485456,0.002862476664592408,0.0035545486504433422,0.0019047619047619048,0.0001092896174863388,0.0009643201542912247,0.003884333189469141
8,Education & Educational Research,553,43,14,243,37,81,70,65,0.015071854188573432,0.0017423771001866832,0.009491816725909144,0.035238095238095235,0.008852459016393442,0.06750241080038573,0.028053517479499353
9,Philosophy,13,9,0,1,0,1,0,2,0.0031545741324921135,0.0,3.906097418069607e-05,0.0,0.0001092896174863388,0.0,0.0008631851532153647
10,Plant Sciences,1332,264,65,974,0,2,2,25,0.09253417455310199,0.008089607965152458,0.03804538885199797,0.0,0.0002185792349726776,0.0019286403085824494,0.01078981441519206
