index,source,target,weight
0,Open Society Foundations,United States National Science Foundation (NSF),34
1,Atlantic Philanthropies,Open Society Foundations,7
2,United States Centers for Disease Control and Prevention (CDC),United States National Science Foundation (NSF),33
3,Stanford University,United States National Science Foundation (NSF),251
4,United States National Institutes of Health (NIH),United States National Science Foundation (NSF),1506
5,Open Society Foundations,United States Centers for Disease Control and Prevention (CDC),26
6,Open Society Foundations,Stanford University,11
7,Open Society Foundations,United States National Institutes of Health (NIH),127
8,Stanford University,United States Centers for Disease Control and Prevention (CDC),6
9,United States Centers for Disease Control and Prevention (CDC),United States National Institutes of Health (NIH),557
10,Stanford University,United States National Institutes of Health (NIH),547
11,Atlantic Philanthropies,United States National Science Foundation (NSF),2
12,Ford Foundation,United States National Science Foundation (NSF),554
13,Google,United States National Science Foundation (NSF),74
14,Ford Foundation,Open Society Foundations,52
15,Google,Open Society Foundations,3
16,Atlantic Philanthropies,Ford Foundation,13
17,Atlantic Philanthropies,Google,4
18,Ford Foundation,Google,103
19,Alfred P. Sloan Foundation,Open Society Foundations,3
20,Alfred P. Sloan Foundation,United States Centers for Disease Control and Prevention (CDC),3
21,Paul and Daisy Soros Fellowship for New Americans,United States National Science Foundation (NSF),116
22,LIGO Laboratory,United States National Science Foundation (NSF),13
23,LIGO Laboratory,Paul and Daisy Soros Fellowship for New Americans,8
24,Florida International University,Open Society Foundations,4
25,American Cancer Society,Paul and Daisy Soros Fellowship for New Americans,4
26,Howard Hughes Medical Institute,Paul and Daisy Soros Fellowship for New Americans,39
27,Paul and Daisy Soros Fellowship for New Americans,United States National Institutes of Health (NIH),177
28,American Cancer Society,Howard Hughes Medical Institute,10
29,American Cancer Society,United States National Institutes of Health (NIH),100
30,Howard Hughes Medical Institute,United States National Institutes of Health (NIH),388
31,United States Department of Defense (DOD),United States National Science Foundation (NSF),329
32,Paul and Daisy Soros Fellowship for New Americans,United States Department of Defense (DOD),17
33,United States Department of Defense (DOD),United States National Institutes of Health (NIH),203
34,United States Army Research Office,United States Department of Defense (DOD),58
35,United States Army Research Office,United States National Science Foundation (NSF),177
36,Paul and Daisy Soros Fellowship for New Americans,United States Army Research Office,4
37,United States Army Research Office,United States National Institutes of Health (NIH),76
38,United States Department of Energy (DOE),United States National Science Foundation (NSF),475
39,United States National Aeronautics & Space Administration (NASA),United States National Science Foundation (NSF),703
40,Paul and Daisy Soros Fellowship for New Americans,United States Department of Energy (DOE),11
41,Paul and Daisy Soros Fellowship for New Americans,United States National Aeronautics & Space Administration (NASA),2
42,United States Department of Energy (DOE),United States National Aeronautics & Space Administration (NASA),128
43,LIGO Laboratory,United States Department of Energy (DOE),1
44,LIGO Laboratory,United States National Aeronautics & Space Administration (NASA),4
45,Open Society Foundations,William T. Grant Foundation,24
